console,title,average_rating,rating_count,genres
n64,Body Harvest (USA),4.52,236,['Action-Adventure']
n64,Bokujou Monogatari 2 (Japan),4.55,64,[]
n64,Bomberman 64 - The Second Attack! (USA),4.53,113,['Action']
n64,Bomberman 64 (Europe),4.52,174,['Action']
n64,Bomberman 64 (Japan) (Arcade Edition),3.94,48,['Action']
n64,Bomberman 64 (USA),4.36,335,['Action']
n64,Bomberman Hero - Mirian Oujo wo Sukue! (Japan),4.93,15,[]
n64,Bomberman Hero (Europe),4.57,147,"['Action', 'Platformer']"
n64,Bomberman Hero (USA),4.37,102,"['Action', 'Platformer']"
n64,Bottom of the 9th (USA),4.33,12,['Sports']
n64,Brunswick Circuit Pro Bowling (USA),4.86,7,['Sports']
n64,"Buck Bumble (Europe) (En,Fr,De,Es,It)",5,21,"['Action', 'Shooter']"
n64,Buck Bumble (Japan),5,4,"['Action', 'Shooter']"
n64,Buck Bumble (USA),4.17,23,"['Action', 'Shooter']"
n64,"Bug's Life, A (Europe)",5,15,"['Action', 'Platformer']"
n64,"Bug's Life, A (France)",4.63,8,"['Action', 'Platformer']"
n64,"Bug's Life, A (Germany)",4.88,16,"['Action', 'Platformer']"
n64,"Bug's Life, A (Italy)",4.44,9,"['Action', 'Platformer']"
n64,"Bug's Life, A (USA)",4.58,156,"['Action', 'Platformer']"
n64,Bust-A-Move '99 (USA),4.05,22,"['Strategy', 'Puzzle']"
n64,Bust-A-Move 2 - Arcade Edition (Europe),4.53,15,"['Action', 'Puzzle']"
n64,Bust-A-Move 2 - Arcade Edition (USA),4,35,"['Action', 'Puzzle']"
n64,Bust-A-Move 3 DX (Europe),3.82,22,[]
n64,California Speed (USA),4.55,88,['Driving/Racing']
n64,"Carmageddon 64 (Europe) (En,Fr,De,Es)",4.17,24,"['Driving/Racing', 'Vehicular Combat']"
n64,"Carmageddon 64 (Europe) (En,Fr,Es,It)",3.67,12,"['Driving/Racing', 'Vehicular Combat']"
n64,Carmageddon 64 (USA),4.02,50,"['Driving/Racing', 'Vehicular Combat']"
n64,"Castlevania - Legacy of Darkness (Europe) (En,Fr,De)",4.61,252,['Action']
n64,Castlevania - Legacy of Darkness (USA),3.76,350,['Action']
n64,"Castlevania (Europe) (En,Fr,De)",4.45,77,"['Action', 'Adventure']"
n64,Castlevania (USA),4.5,210,"['Action', 'Adventure']"
n64,Castlevania (USA) (Rev B),4.74,23,"['Action', 'Adventure']"
n64,Centre Court Tennis (Europe),3.84,19,['Sports']
n64,Chameleon Twist (Europe),4.82,11,"['Adventure', 'Platformer']"
n64,Chameleon Twist (Japan),5,9,"['Adventure', 'Platformer']"
n64,Chameleon Twist (USA),4.35,34,"['Adventure', 'Platformer']"
n64,Chameleon Twist 2 (Europe),4.42,12,['Platformer']
n64,Chameleon Twist 2 (Japan),4.5,8,['Platformer']
n64,Chameleon Twist 2 (USA),4.41,34,['Platformer']
n64,Charlie Blast's Territory (Europe),5,6,['Strategy']
n64,Charlie Blast's Territory (USA),5,7,['Strategy']
n64,Chopper Attack (Europe),4.73,11,['Action']
n64,Chopper Attack (USA),5,17,['Action']
n64,Choro Q 64 (Japan),4.38,32,[]
n64,Choro Q 64 II - Hacha Mecha Grand Prix Race (Japan),4.34,29,[]
n64,Chou Kuukan Nighter Pro Yakyuu King (Japan),4.43,7,[]
n64,Chou Kuukan Nighter Pro Yakyuu King 2 (Japan),4.38,13,[]
n64,Chou Snobo Kids (Japan),5,6,[]
n64,City-Tour GP - Zennihon GT Senshuken (Japan),4.13,8,[]
n64,Clay Fighter - Sculptor's Cut (USA),4.62,29,[]
n64,Clay Fighter 63 1-3 (Europe),4.47,627,[]
n64,Clay Fighter 63 1-3 (USA),4.47,665,[]
n64,Clay Fighter 63 1-3 (USA) (Beta),4.47,620,[]
n64,"Command & Conquer (Europe) (En,Fr)",4.6,25,['Real-Time Strategy']
n64,Command & Conquer (Germany),4.85,33,['Real-Time Strategy']
n64,Command & Conquer (USA),4.53,276,['Real-Time Strategy']
n64,Conker's Bad Fur Day (Europe),4.59,466,"['Platformer', 'Action-Adventure']"
n64,Conker's Bad Fur Day (USA),4.4,4926,"['Platformer', 'Action-Adventure']"
n64,Cruis'n Exotica (USA),4.41,56,['Driving/Racing']
n64,Cruis'n USA (Europe),4.67,42,"['Action', 'Driving/Racing']"
n64,Cruis'n USA (USA),4.5,227,"['Action', 'Driving/Racing']"
n64,Cruis'n USA (USA) (Rev A),4.25,16,"['Action', 'Driving/Racing']"
n64,Cruis'n USA (USA) (Rev B),4.16,25,"['Action', 'Driving/Racing']"
n64,Cruis'n World (Europe),4.66,29,['Driving/Racing']
n64,Cruis'n World (USA),4.35,213,['Driving/Racing']
n64,Custom Robo (Japan),4.56,77,['Fighting']
n64,Custom Robo V2 (Japan),4.57,215,['Fighting']
n64,CyberTiger (Europe),5,10,[]
n64,CyberTiger (USA),4.73,15,[]
n64,"Daffy Duck Starring as Duck Dodgers (Europe) (En,Fr,De,Es,It,Nl)",4.54,24,[]
n64,Dance Dance Revolution - Disney Dancing Museum (Japan),4.71,14,"['Simulation', 'Music/Rhythm']"
n64,Dark Rift (Europe),4.8,10,['Fighting']
n64,Dark Rift (USA),4.26,31,['Fighting']
n64,Deadly Arts (USA),4.55,20,['Action']
n64,Defi au Tetris Magique (France),5,6,[]
n64,Densha de Go! 64 (Japan),4.56,64,"['Driving/Racing', 'Simulation']"
n64,Derby Stallion 64 (Japan),4.39,18,[]
n64,Derby Stallion 64 (Japan) (Beta),5,8,[]
n64,"Destruction Derby 64 (Europe) (En,Fr,De)",4.48,40,"['Driving/Racing', 'Simulation', 'Vehicular Combat']"
n64,Destruction Derby 64 (USA),4.57,277,"['Driving/Racing', 'Simulation', 'Vehicular Combat']"
n64,Dezaemon 3D (Japan),4.75,16,['Action']
n64,"Diddy Kong Racing (Europe) (En,Fr,De)",4.53,283,['Driving/Racing']
n64,"Diddy Kong Racing (Europe) (En,Fr,De) (Rev A)",4.43,93,['Driving/Racing']
n64,Diddy Kong Racing (Japan),4.59,179,['Driving/Racing']
n64,"Diddy Kong Racing (USA) (En,Fr)",4.46,1254,['Driving/Racing']
n64,"Diddy Kong Racing (USA) (En,Fr) (Rev A)",3.87,301,['Driving/Racing']
n64,"Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)",4.6,92,"['Action', 'Platformer']"
n64,"Donald Duck - Quack Attack (Europe) (En,Fr,De,Es,It)",4.46,85,"['Action', 'Platformer']"
n64,Doom 64 (Europe),4.55,226,['First-Person Shooter']
n64,Doom 64 (Japan),4.76,17,['First-Person Shooter']
n64,Doom 64 (USA),4.57,383,['First-Person Shooter']
n64,Doom 64 (USA) (Rev A),4.3,37,['First-Person Shooter']
n64,Doraemon - Nobita to 3tsu no Seireiseki (Japan),4.56,48,[]
n64,Doraemon 2 - Nobita to Hikari no Shinden (Japan),3.85,68,['Platformer']
n64,Doraemon 3 - Nobita no Machi SOS! (Japan),3.92,571,['Platformer']
n64,Doubutsu no Mori (Japan),4.63,4051,['Simulation']
n64,Dual Heroes (Europe),4.3,10,['Action']
n64,Dual Heroes (Japan),4.14,7,['Action']
n64,Dual Heroes (USA),4.44,16,['Action']
n64,"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)",4.39,38,"['Action', 'Adventure']"
n64,"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es) (Beta)",5,9,"['Action', 'Adventure']"
n64,Duke Nukem - Zero Hour (Europe),4.57,152,"['Action', 'Shooter']"
n64,Duke Nukem - Zero Hour (France),5,8,"['Action', 'Shooter']"
n64,Duke Nukem - Zero Hour (USA),4.39,104,"['Action', 'Shooter']"
n64,Duke Nukem 64 (Europe),4.58,64,['First-Person Shooter']
n64,Duke Nukem 64 (France),4.4,20,['First-Person Shooter']
n64,Duke Nukem 64 (USA),4.51,136,['First-Person Shooter']
n64,"Earthworm Jim 3D (Europe) (En,Fr,De,Es,It)",4.29,69,"['Action', 'Platformer']"
n64,Earthworm Jim 3D (USA),4.47,70,"['Action', 'Platformer']"
n64,ECW Hardcore Revolution (Europe),4.82,11,"['Sports', 'Wrestling']"
n64,ECW Hardcore Revolution (USA),3.84,75,"['Sports', 'Wrestling']"
n64,Eikou no Saint Andrews (Japan),3.43,14,['Golf']
n64,Elmo's Letter Adventure (USA),4.65,23,['Educational']
n64,Elmo's Number Journey (USA),4.92,13,['Educational']
n64,Eltale Monsters (Japan),4.64,11,"['Adventure', 'Role-Playing']"
n64,Excitebike 64 (Europe),4.71,28,['Driving/Racing']
n64,Excitebike 64 (Japan),4.74,31,['Driving/Racing']
n64,Excitebike 64 (USA),4.48,139,['Driving/Racing']
n64,Excitebike 64 (USA) (Kiosk Demo),5,8,['Driving/Racing']
n64,"Extreme-G (Europe) (En,Fr,De,Es,It)",4.5,131,['Driving/Racing']
n64,Extreme-G (Japan),4.56,9,['Driving/Racing']
n64,Extreme-G (USA),4.62,108,['Driving/Racing']
n64,"Extreme-G XG2 (Europe) (En,Fr,De,Es,It)",4.09,32,['Driving/Racing']
n64,Extreme-G XG2 (Japan),4.88,8,['Driving/Racing']
n64,Extreme-G XG2 (USA),4.5,52,['Driving/Racing']
n64,F-1 World Grand Prix (Europe),4.22,1318,"['Driving/Racing', 'Simulation']"
n64,F-1 World Grand Prix (France),4.23,1288,"['Driving/Racing', 'Simulation']"
n64,F-1 World Grand Prix (Germany),4.22,1250,"['Driving/Racing', 'Simulation']"
n64,F-1 World Grand Prix (Japan),4.22,1285,"['Driving/Racing', 'Simulation']"
n64,F-1 World Grand Prix (USA),4.24,1352,"['Driving/Racing', 'Simulation']"
n64,"F-1 World Grand Prix II (Europe) (En,Fr,De,Es)",4.45,681,"['Driving/Racing', 'Simulation']"
n64,"F1 Pole Position 64 (Europe) (En,Fr,De)",4.8,15,"['Driving/Racing', 'Simulation']"
n64,"F1 Pole Position 64 (USA) (En,Fr,De)",3,39,"['Driving/Racing', 'Simulation']"
n64,"F1 Racing Championship (Europe) (En,Fr,De,Es,It)",4.44,52,[]
n64,Famista 64 (Japan),4.45,11,[]
n64,FIFA - Road to World Cup 98 - World Cup heno Michi (Japan),4.12,26,[]
n64,"FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Nl,Sv)",4.34,85,"['Sports', 'Soccer']"
n64,"FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)",4.55,64,"['Sports', 'Soccer']"
n64,"FIFA 99 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)",4.39,139,"['Sports', 'Simulation', 'Soccer']"
n64,"FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)",4.38,108,"['Sports', 'Simulation', 'Soccer']"
n64,"FIFA Soccer 64 (Europe) (En,Fr,De)",3.34,67,"['Sports', 'Soccer']"
n64,"FIFA Soccer 64 (USA) (En,Fr,De)",4.5,40,"['Sports', 'Soccer']"
n64,Fighter Destiny 2 (USA),4.26,34,['Fighting']
n64,Fighters Destiny (Europe),4.56,16,['Fighting']
n64,Fighters Destiny (France),4.13,8,['Fighting']
n64,Fighters Destiny (Germany),4.5,10,['Fighting']
n64,Fighters Destiny (USA),4.7,50,['Fighting']
n64,Fighting Cup (Japan),5,11,[]
n64,Fighting Force 64 (Europe),4.57,28,"['Action', 'Fighting', 'Brawler']"
n64,Fighting Force 64 (USA),4.6,362,"['Action', 'Fighting', 'Brawler']"
n64,Flying Dragon (Europe),4.67,27,"['Action', 'Fighting']"
n64,Flying Dragon (USA),4.43,54,"['Action', 'Fighting']"
n64,"Forsaken 64 (Europe) (En,Fr,Es,It)",4.59,22,[]
n64,Forsaken 64 (Germany),4.29,14,[]
n64,Forsaken 64 (USA),4.61,31,[]
n64,Fox Sports College Hoops '99 (USA),4.8,10,"['Sports', 'Basketball']"
n64,Frogger 2 (USA) (Rev A) (Alpha),4.63,32,[]
n64,Fushigi no Dungeon Fuurai no Shiren 2 - Oni Shuurai! Shiren Jou! (Japan),4.64,403,[]
n64,G.A.S.P!! Fighters' NEXTream (Europe),4.73,22,[]
n64,G.A.S.P!! Fighters' NEXTream (Japan),4.29,14,[]
n64,Ganbare Goemon - Dero Dero Douchuu Obake Tenkomori (Japan),4.59,254,[]
n64,Ganbare Goemon - Neo Momoyama Bakufu no Odori (Japan),4.59,193,[]
n64,Ganbare! Nippon! Olympics 2000 (Japan),4.86,7,[]
n64,Gauntlet Legends (Europe),4.71,35,"['Role-Playing', 'Brawler']"
n64,Gauntlet Legends (Japan),5,6,"['Role-Playing', 'Brawler']"
n64,Gauntlet Legends (USA),4.52,197,"['Role-Playing', 'Brawler']"
n64,Getter Love!! Cho Renai Party Game (Japan),4.87,23,[]
n64,"Gex 3 - Deep Cover Gecko (Europe) (En,Es,It)",4.95,19,"['Action', 'Platformer']"
n64,"Gex 3 - Deep Cover Gecko (Europe) (Fr,De)",4.35,17,"['Action', 'Platformer']"
n64,Gex 3 - Deep Cover Gecko (USA),4.72,43,"['Action', 'Platformer']"
n64,Gex 64 - Enter the Gecko (Europe),4.43,21,"['Action', 'Adventure', 'Platformer']"
n64,Gex 64 - Enter the Gecko (USA),4.64,67,"['Action', 'Adventure', 'Platformer']"
n64,"Glover (Europe) (En,Fr,De)",4.72,29,['Action-Adventure']
n64,Glover (USA),4.57,180,['Action-Adventure']
n64,Goemon - Mononoke Sugoroku (Japan),4.93,29,['Strategy']
n64,Goemon's Great Adventure (USA),4.62,154,"['Action', 'Adventure']"
n64,Golden Nugget 64 (USA),4.64,11,['Simulation']
n64,"GT64 - Championship Edition (Europe) (En,Fr,De)",4.38,24,[]
n64,GT64 - Championship Edition (USA),4.72,29,[]
n64,Hamster Monogatari 64 (Japan),4.7,10,"['Role-Playing', 'Simulation', 'Minigame Collection']"
n64,Harukanaru Augusta - Masters '98 (Japan),4.83,6,[]
n64,Harvest Moon 64 (USA),4.54,830,"['Role-Playing', 'Simulation']"
n64,Heiwa Pachinko World 64 (Japan),5,4,[]
n64,"Hercules - The Legendary Journeys (Europe) (En,Fr,De,Es,It,Nl)",4.16,62,"['Action', 'Adventure']"
n64,Hercules - The Legendary Journeys (USA),4.03,38,"['Action', 'Adventure']"
n64,Hexen (Europe),4.05,19,"['Action', 'First-Person Shooter']"
n64,Hexen (France),4.6,5,"['Action', 'First-Person Shooter']"
n64,Hexen (Germany),5,8,"['Action', 'First-Person Shooter']"
n64,Hexen (Japan),4.67,6,"['Action', 'First-Person Shooter']"
n64,Hexen (USA),4.56,48,"['Action', 'First-Person Shooter']"
n64,"Hey You, Pikachu! (USA)",4.21,132,"['Simulation', 'Action-Adventure']"
n64,Hiryuu no Ken Twin (Japan),4.61,128,[]
n64,Holy Magic Century (Europe),4.18,33,"['Adventure', 'Role-Playing']"
n64,Holy Magic Century (France),3.89,9,"['Adventure', 'Role-Playing']"
n64,Holy Magic Century (Germany),4.67,36,"['Adventure', 'Role-Playing']"
n64,"Hot Wheels - Turbo Racing (Europe) (En,Fr,De)",4.08,38,"['Action', 'Driving/Racing']"
n64,Hot Wheels - Turbo Racing (USA),3.88,132,"['Action', 'Driving/Racing']"
n64,HSV Adventure Racing! (Australia),3.81,27,"['Action', 'Driving/Racing']"
n64,Human Grand Prix - The New Generation (Japan),4.71,7,"['Driving/Racing', 'Simulation']"
n64,"Hybrid Heaven (Europe) (En,Fr,De)",4.71,28,"['Action', 'Adventure', 'Role-Playing']"
n64,Hybrid Heaven (Japan),4.29,7,"['Action', 'Adventure', 'Role-Playing']"
n64,Hybrid Heaven (USA),4.59,68,"['Action', 'Adventure', 'Role-Playing']"
