console,title,href
n64,"Banjo-Kazooie (Europe) (En,Fr,De)","/Nintendo_64_ROMs/Banjo-Kazooie_(Europe)_(En,Fr,De)/39590"
n64,Banjo-Kazooie (USA),/Nintendo_64_ROMs/Banjo-Kazooie_(USA)/39592
n64,Banjo-Kazooie (USA) (Rev A),/Nintendo_64_ROMs/Banjo-Kazooie_(USA)_(Rev_A)/39591
n64,Banjo-Tooie (Australia),/Nintendo_64_ROMs/Banjo-Tooie_(Australia)/39595
n64,"Banjo-Tooie (Europe) (En,Fr,De,Es)","/Nintendo_64_ROMs/Banjo-Tooie_(Europe)_(En,Fr,De,Es)/39596"
n64,Banjo-Tooie (USA),/Nintendo_64_ROMs/Banjo-Tooie_(USA)/39597
n64,Bass Rush - ECOGEAR PowerWorm Championship (Japan),/Nintendo_64_ROMs/Bass_Rush_-_ECOGEAR_PowerWorm_Championship_(Japan)/39599
n64,Bassmasters 2000 (USA),/Nintendo_64_ROMs/Bassmasters_2000_(USA)/39598
n64,Batman Beyond - Return of the Joker (USA),/Nintendo_64_ROMs/Batman_Beyond_-_Return_of_the_Joker_(USA)/39600
n64,"Batman of the Future - Return of the Joker (Europe) (En,Fr,De)","/Nintendo_64_ROMs/Batman_of_the_Future_-_Return_of_the_Joker_(Europe)_(En,Fr,De)/39601"
n64,"BattleTanx - Global Assault (Europe) (En,Fr,De)","/Nintendo_64_ROMs/BattleTanx_-_Global_Assault_(Europe)_(En,Fr,De)/39602"
n64,BattleTanx - Global Assault (USA),/Nintendo_64_ROMs/BattleTanx_-_Global_Assault_(USA)/39603
n64,BattleTanx (USA),/Nintendo_64_ROMs/BattleTanx_(USA)/39604
n64,Battlezone - Rise of the Black Dogs (USA),/Nintendo_64_ROMs/Battlezone_-_Rise_of_the_Black_Dogs_(USA)/39605
n64,"Beetle Adventure Racing! (Europe) (En,Fr,De)","/Nintendo_64_ROMs/Beetle_Adventure_Racing!_(Europe)_(En,Fr,De)/39606"
n64,Beetle Adventure Racing! (Japan),/Nintendo_64_ROMs/Beetle_Adventure_Racing!_(Japan)/39607
n64,"Beetle Adventure Racing! (USA) (En,Fr,De)","/Nintendo_64_ROMs/Beetle_Adventure_Racing!_(USA)_(En,Fr,De)/39608"
n64,Big Mountain 2000 (USA),/Nintendo_64_ROMs/Big_Mountain_2000_(USA)/39609
n64,Bio F.R.E.A.K.S. (Europe),/Nintendo_64_ROMs/Bio_F.R.E.A.K.S._(Europe)/39610
n64,Bio F.R.E.A.K.S. (USA),/Nintendo_64_ROMs/Bio_F.R.E.A.K.S._(USA)/39611
n64,Biohazard 2 (Japan),/Nintendo_64_ROMs/Biohazard_2_(Japan)/39612
n64,"Blast Corps (Europe) (En,De)","/Nintendo_64_ROMs/Blast_Corps_(Europe)_(En,De)/39613"
n64,Blast Corps (USA),/Nintendo_64_ROMs/Blast_Corps_(USA)/39615
n64,Blast Corps (USA) (Rev A),/Nintendo_64_ROMs/Blast_Corps_(USA)_(Rev_A)/39614
n64,Blastdozer (Japan),/Nintendo_64_ROMs/Blastdozer_(Japan)/39616
n64,"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)","/Nintendo_64_ROMs/Blues_Brothers_2000_(Europe)_(En,Fr,De,Es,It,Nl)/39617"
n64,Blues Brothers 2000 (USA),/Nintendo_64_ROMs/Blues_Brothers_2000_(USA)/39618
n64,"Body Harvest (Europe) (En,Fr,De)","/Nintendo_64_ROMs/Body_Harvest_(Europe)_(En,Fr,De)/39619"
