console,title,href
nes,Advanced Dungeons & Dragons - Dragon Strike (USA),/Nintendo_Entertainment_System_ROMs/Advanced_Dungeons_&_Dragons_-_Dragon_Strike_(USA)/54698
nes,Advanced Dungeons & Dragons - Dragons of Flame (Japan),/Nintendo_Entertainment_System_ROMs/Advanced_Dungeons_&_Dragons_-_Dragons_of_Flame_(Japan)/54697
nes,Advanced Dungeons & Dragons - Dragons of Flame (Japan) [En by DvD v1.03],/Nintendo_Entertainment_System_ROMs/Advanced_Dungeons_&_Dragons_-_Dragons_of_Flame_(Japan)_[En_by_DvD_v1.03]/54696
nes,Advanced Dungeons & Dragons - Heroes of the Lance (Japan),/Nintendo_Entertainment_System_ROMs/Advanced_Dungeons_&_Dragons_-_Heroes_of_the_Lance_(Japan)/54699
nes,Advanced Dungeons & Dragons - Heroes of the Lance (USA),/Nintendo_Entertainment_System_ROMs/Advanced_Dungeons_&_Dragons_-_Heroes_of_the_Lance_(USA)/54700
nes,Advanced Dungeons & Dragons - Hillsfar (Japan),/Nintendo_Entertainment_System_ROMs/Advanced_Dungeons_&_Dragons_-_Hillsfar_(Japan)/54701
nes,Advanced Dungeons & Dragons - Hillsfar (USA),/Nintendo_Entertainment_System_ROMs/Advanced_Dungeons_&_Dragons_-_Hillsfar_(USA)/54702
nes,Advanced Dungeons & Dragons - Pool of Radiance (Japan),/Nintendo_Entertainment_System_ROMs/Advanced_Dungeons_&_Dragons_-_Pool_of_Radiance_(Japan)/54703
nes,Advanced Dungeons & Dragons - Pool of Radiance (USA),/Nintendo_Entertainment_System_ROMs/Advanced_Dungeons_&_Dragons_-_Pool_of_Radiance_(USA)/54704
nes,Adventures in the Magic Kingdom (Europe),/Nintendo_Entertainment_System_ROMs/Adventures_in_the_Magic_Kingdom_(Europe)/54705
nes,Adventures in the Magic Kingdom (USA),/Nintendo_Entertainment_System_ROMs/Adventures_in_the_Magic_Kingdom_(USA)/54707
nes,Adventures in the Magic Kingdom (USA) (Beta),/Nintendo_Entertainment_System_ROMs/Adventures_in_the_Magic_Kingdom_(USA)_(Beta)/54706
nes,"Adventures of Bayou Billy, The (Europe)","/Nintendo_Entertainment_System_ROMs/Adventures_of_Bayou_Billy,_The_(Europe)/54708"
nes,"Adventures of Bayou Billy, The (USA)","/Nintendo_Entertainment_System_ROMs/Adventures_of_Bayou_Billy,_The_(USA)/54709"
nes,"Adventures of Captain Comic, The (USA) (Unl)","/Nintendo_Entertainment_System_ROMs/Adventures_of_Captain_Comic,_The_(USA)_(Unl)/54710"
nes,"Adventures of Dino Riki, The (USA)","/Nintendo_Entertainment_System_ROMs/Adventures_of_Dino_Riki,_The_(USA)/54711"
nes,"Adventures of Dr. Franken, The (USA) (Proto)","/Nintendo_Entertainment_System_ROMs/Adventures_of_Dr._Franken,_The_(USA)_(Proto)/54712"
nes,"Adventures of Gilligan's Island, The (USA)","/Nintendo_Entertainment_System_ROMs/Adventures_of_Gilligan's_Island,_The_(USA)/54713"
nes,Adventures of Lolo (Europe),/Nintendo_Entertainment_System_ROMs/Adventures_of_Lolo_(Europe)/54720
nes,Adventures of Lolo (Japan),/Nintendo_Entertainment_System_ROMs/Adventures_of_Lolo_(Japan)/54721
nes,Adventures of Lolo (USA),/Nintendo_Entertainment_System_ROMs/Adventures_of_Lolo_(USA)/54723
nes,Adventures of Lolo (USA) [Hack by Sivak Drac v1.0] (~Challenging Lolo),/Nintendo_Entertainment_System_ROMs/Adventures_of_Lolo_(USA)_[Hack_by_Sivak_Drac_v1.0]_(~Challenging_Lolo)/54722
nes,Adventures of Lolo 2 (Europe),/Nintendo_Entertainment_System_ROMs/Adventures_of_Lolo_2_(Europe)/54714
nes,Adventures of Lolo 2 (Japan),/Nintendo_Entertainment_System_ROMs/Adventures_of_Lolo_2_(Japan)/54715
nes,Adventures of Lolo 2 (USA),/Nintendo_Entertainment_System_ROMs/Adventures_of_Lolo_2_(USA)/54717
nes,Adventures of Lolo 2 (USA) [Hack by Sivak Drac v1.0] (~Challenging Lolo 2),/Nintendo_Entertainment_System_ROMs/Adventures_of_Lolo_2_(USA)_[Hack_by_Sivak_Drac_v1.0]_(~Challenging_Lolo_2)/54716
nes,Adventures of Lolo 3 (Europe),/Nintendo_Entertainment_System_ROMs/Adventures_of_Lolo_3_(Europe)/54718
nes,Adventures of Lolo 3 (USA),/Nintendo_Entertainment_System_ROMs/Adventures_of_Lolo_3_(USA)/54719
nes,"Adventures of Rad Gravity, The (Europe)","/Nintendo_Entertainment_System_ROMs/Adventures_of_Rad_Gravity,_The_(Europe)/54724"
nes,"Adventures of Rad Gravity, The (USA)","/Nintendo_Entertainment_System_ROMs/Adventures_of_Rad_Gravity,_The_(USA)/54725"
nes,"Adventures of Rocky and Bullwinkle and Friends, The (USA)","/Nintendo_Entertainment_System_ROMs/Adventures_of_Rocky_and_Bullwinkle_and_Friends,_The_(USA)/54726"
nes,Adventures of Tom Sawyer (USA),/Nintendo_Entertainment_System_ROMs/Adventures_of_Tom_Sawyer_(USA)/54727
nes,After Burner (USA) (Unl),/Nintendo_Entertainment_System_ROMs/After_Burner_(USA)_(Unl)/54729
nes,After Burner II (Japan),/Nintendo_Entertainment_System_ROMs/After_Burner_II_(Japan)/54728
nes,Ai Sensei no Oshiete - Watashi no Hoshi (Japan),/Nintendo_Entertainment_System_ROMs/Ai_Sensei_no_Oshiete_-_Watashi_no_Hoshi_(Japan)/54740
nes,Aigiina no Yogen - From The Legend of Balubalouk (Japan),/Nintendo_Entertainment_System_ROMs/Aigiina_no_Yogen_-_From_The_Legend_of_Balubalouk_(Japan)/54730
nes,Air Fortress (Europe),/Nintendo_Entertainment_System_ROMs/Air_Fortress_(Europe)/54733
nes,Air Fortress (Japan),/Nintendo_Entertainment_System_ROMs/Air_Fortress_(Japan)/54734
nes,Air Fortress (USA),/Nintendo_Entertainment_System_ROMs/Air_Fortress_(USA)/54735
nes,Airball (Proto1),/Nintendo_Entertainment_System_ROMs/Airball_(Proto1)/54731
nes,Airball (Proto2),/Nintendo_Entertainment_System_ROMs/Airball_(Proto2)/54732
nes,Airwolf (Europe),/Nintendo_Entertainment_System_ROMs/Airwolf_(Europe)/54736
nes,Airwolf (Japan),/Nintendo_Entertainment_System_ROMs/Airwolf_(Japan)/54738
nes,Airwolf (Japan) [En by Vice v1.0],/Nintendo_Entertainment_System_ROMs/Airwolf_(Japan)_[En_by_Vice_v1.0]/54737
nes,Airwolf (USA),/Nintendo_Entertainment_System_ROMs/Airwolf_(USA)/54739
nes,Akagawa Jirou no Yuurei Ressha (Japan),/Nintendo_Entertainment_System_ROMs/Akagawa_Jirou_no_Yuurei_Ressha_(Japan)/54741
nes,Akira (Japan),/Nintendo_Entertainment_System_ROMs/Akira_(Japan)/54742
nes,Akuma no Shoutaijou (Japan),/Nintendo_Entertainment_System_ROMs/Akuma_no_Shoutaijou_(Japan)/54749
nes,Akuma-kun - Makai no Wana (Japan),/Nintendo_Entertainment_System_ROMs/Akuma-kun_-_Makai_no_Wana_(Japan)/54748
nes,Akumajou Densetsu (Japan),/Nintendo_Entertainment_System_ROMs/Akumajou_Densetsu_(Japan)/54744
nes,Akumajou Densetsu (Japan) [En by Vice v1.0] (~Legend of Demon Castle - Castlevania III),/Nintendo_Entertainment_System_ROMs/Akumajou_Densetsu_(Japan)_[En_by_Vice_v1.0]_(~Legend_of_Demon_Castle_-_Castlevania_III)/54743
nes,Akumajou Dracula (Japan),/Nintendo_Entertainment_System_ROMs/Akumajou_Dracula_(Japan)/54745
nes,Akumajou Special - Boku Dracula-kun (Japan),/Nintendo_Entertainment_System_ROMs/Akumajou_Special_-_Boku_Dracula-kun_(Japan)/54747
