console,title,href
sega_dreamcast,Alone in the Dark - The New Nightmare (USA),/Sega_Dreamcast_ISOs/Alone_in_the_Dark_-_The_New_Nightmare_(USA)/10
sega_dreamcast,Angel Present (Japan),/Sega_Dreamcast_ISOs/Angel_Present_(Japan)/182277
sega_dreamcast,Animaster (Japan),/Sega_Dreamcast_ISOs/Animaster_(Japan)/182278
sega_dreamcast,Aoi Hagane no Kihei - Space Griffon (Japan),/Sega_Dreamcast_ISOs/Aoi_Hagane_no_Kihei_-_Space_Griffon_(Japan)/182279
sega_dreamcast,"Aqua GT (Europe)(En,Fr,De)","/Sega_Dreamcast_ISOs/Aqua_GT_(Europe)(En,Fr,De)/51553"
sega_dreamcast,Armada (USA),/Sega_Dreamcast_ISOs/Armada_(USA)/11
sega_dreamcast,"Army Men - Sarge's Heroes (Europe)(En,Fr,De,It,Es)","/Sega_Dreamcast_ISOs/Army_Men_-_Sarge's_Heroes_(Europe)(En,Fr,De,It,Es)/51554"
sega_dreamcast,Army Men - Sarge's Heroes (USA),/Sega_Dreamcast_ISOs/Army_Men_-_Sarge's_Heroes_(USA)/12
sega_dreamcast,Atari Anniversary Edition (USA),/Sega_Dreamcast_ISOs/Atari_Anniversary_Edition_(USA)/13
sega_dreamcast,Atsumare! GuruGuru Onsen (Japan),/Sega_Dreamcast_ISOs/Atsumare!_GuruGuru_Onsen_(Japan)/99369
sega_dreamcast,Atsumare! GuruGuru Onsen BB (Japan),/Sega_Dreamcast_ISOs/Atsumare!_GuruGuru_Onsen_BB_(Japan)/182280
sega_dreamcast,"Aventures de Buzz L'Eclair, Les (France)","/Sega_Dreamcast_ISOs/Aventures_de_Buzz_L'Eclair,_Les_(France)/51562"
sega_dreamcast,Bakumatsu Roman Daini Maku - Gekka no Kenshi - Final Edition (Japan),/Sega_Dreamcast_ISOs/Bakumatsu_Roman_Daini_Maku_-_Gekka_no_Kenshi_-_Final_Edition_(Japan)/182281
sega_dreamcast,Bakuretsu Muteki Bangaioh (Japan),/Sega_Dreamcast_ISOs/Bakuretsu_Muteki_Bangaioh_(Japan)/182282
sega_dreamcast,Baldr Force EXE (Japan),/Sega_Dreamcast_ISOs/Baldr_Force_EXE_(Japan)/182283
sega_dreamcast,Ball Breakers (USA),/Sega_Dreamcast_ISOs/Ball_Breakers_(USA)/182284
sega_dreamcast,Bang! Gunship Elite (USA),/Sega_Dreamcast_ISOs/Bang!_Gunship_Elite_(USA)/15
sega_dreamcast,"Bangai-O (Europe)(En,Fr,De)","/Sega_Dreamcast_ISOs/Bangai-O_(Europe)(En,Fr,De)/51555"
sega_dreamcast,Bangai-O (USA),/Sega_Dreamcast_ISOs/Bangai-O_(USA)/14
sega_dreamcast,BassRush Dream (Japan),/Sega_Dreamcast_ISOs/BassRush_Dream_(Japan)/182285
sega_dreamcast,Battle Beasters (Japan),/Sega_Dreamcast_ISOs/Battle_Beasters_(Japan)/182286
sega_dreamcast,Berserk (Japan),/Sega_Dreamcast_ISOs/Berserk_(Japan)/99370
sega_dreamcast,BikkuriMan 2000 - Viva! Festiva! (Japan),/Sega_Dreamcast_ISOs/BikkuriMan_2000_-_Viva!_Festiva!_(Japan)/99371
sega_dreamcast,Biohazard -Code - Veronica- (Japan) (Kanzenban),/Sega_Dreamcast_ISOs/Biohazard_-Code_-_Veronica-_(Japan)_(Kanzenban)/99374
sega_dreamcast,Biohazard -Code - Veronica- (Japan) (Shokai Genteiban),/Sega_Dreamcast_ISOs/Biohazard_-Code_-_Veronica-_(Japan)_(Shokai_Genteiban)/99376
sega_dreamcast,Biohazard 2 Value Plus (Japan),/Sega_Dreamcast_ISOs/Biohazard_2_Value_Plus_(Japan)/99372
